,Ticker,2015,2016,2017,2018,2019
0,PG,-9.323275997445537,10.809451225737083,12.53246293417185,4.975150851116607,40.680272751880864
1,VIPS,-25.512192888957696,-21.63701011091605,4.36331918758834,-56.31999969482422,160.00001049916713
2,KR,33.11829671550496,-15.036503138433735,-17.06825150364822,-0.9904489187425342,8.690633021320489
3,RAD,2.7522914680574364,4.303799399846716,-75.91687038144174,-66.6666659204426,0.4545496768344453
4,GIS,12.897715165910551,10.69317245001439,-1.1629418530465272,-31.28041182968117,45.027569214434564
5,PM,13.980936777937483,10.865590267752056,20.190038576866343,-32.490965685952396,33.918031893216344
6,KO,5.339412837835392,0.9589586364282942,13.45170798502823,7.570640532756395,21.67873851751337
7,WMT,-26.65370178517993,15.72912116448004,47.54264341996496,-3.2752502280311164,29.898016946139087
8,MDLZ,23.809817736521,2.9766290907913966,-2.718434801211381,-3.3879000482479693,40.916717977365906
9,MO,23.865489302331603,22.15778008444545,9.429037022838768,-26.452183250203014,8.045047648933885
10,ABEV,-22.605312498627963,19.04743594414691,31.05356491064481,-38.74638370649407,13.886604800501196
11,TAL,65.3736654622368,55.30218837633548,148.8996964294103,-11.859927645515196,85.45594916281044
12,BRFS,-38.54874897853703,10.830041857956784,-25.627477057172776,-50.30621455218526,47.707979736444244
13,NWL,18.603845240198435,4.493916078788673,-29.774845168059077,-38.988859428606865,9.017197922046675
14,KMB,13.745828918763074,-7.087421408010563,8.619277304334673,-0.7513520627069893,26.97047353226857
15,CPB,22.628762719616688,20.44386644702241,-18.525900925619133,-28.04266064489173,58.70461670017825
16,TGT,-0.8406475611562578,1.4253391429079385,-6.5085601510407125,0.9869942713685412,99.1182734492175
17,HRL,58.66678305832708,-8.627693871495469,5.26619350757967,20.441642182950368,11.3723294429881
18,CAG,21.62501550596322,25.94575356766272,-3.0677614944370037,-41.75405929922727,65.72874824708063
19,PEP,8.886701373838283,9.051033548138443,17.795558028898245,-3.313237087778952,28.77463315970832
20,COST,19.06252433079839,1.5097241118151274,22.66316838650961,9.307226016875354,44.953568949814155
21,COTY,26.68124147146635,-25.38467684172081,9.587498508832509,-65.6603636392467,69.12938043185594
22,MNST,37.72188931205835,-7.842596091439196,38.97672297575196,-21.51171752625608,30.332242462354326
23,SJM,25.632152051356968,6.861839824054037,-1.1915330270894524,-22.251552417983824,14.417862916463097
24,CL,-1.3486026129171749,3.4044048161436127,17.704098844788447,-18.85806011660366,19.1365022627099
25,ADM,-27.728082300006594,31.399446909303414,-10.533776991628576,5.249598942618492,17.15979458036437
26,DG,2.7615954905003988,3.5788184271076466,26.71097823384931,16.234765531062788,46.206252888383034
27,TAP,29.902934797940002,5.439369288042512,-16.152426183637726,-31.71205881605033,-2.0589401644753784
28,SYY,5.346119421342533,40.090863810225095,13.922768317817551,5.883635766822913,41.012898231996225
29,CHD,10.792636011688504,8.676289087055965,14.936454918110226,35.22264851723126,10.601174079288617
30,BG,-23.422109738587288,11.06581741194968,-6.062801557379633,-19.083351017339922,11.785974843391767
31,PBH,49.60767152141679,5.125094895979842,-15.842335679043215,-29.64228847073139,31.87887075020229
32,BIG,-0.2272977358874182,33.1854999784493,15.714994547566436,-46.63813586701128,1.7313423357018205
33,STZ,47.19279042772357,10.019642382905298,49.29005870945439,-28.093676843552018,17.49383640582385
34,AVP,-54.549047402205545,24.137936720077523,-59.357277233499616,-30.275233935739887,260.2311028230309
35,HMHC,5.779507164831419,-46.99559968040028,-15.45454372059215,-5.240649249208451,-32.93991196726236
36,POST,44.36125021030371,32.85407638334159,-3.319089313726859,12.19787829080055,21.31657745345522
37,EL,17.930829031832968,-11.040689591045961,66.85224759770838,3.0922342066257937,58.10802381746671
38,PPC,-17.34460577767767,-3.0735095947814326,60.103093178800066,-48.60834966187222,112.60559123313679
39,DLTR,9.765462538153752,-2.0682620275506247,38.553908052838565,-16.901281013849573,3.125006797021124
40,GNC,-31.978784462178673,-63.22571162219307,-66.5457828961663,-32.2857175554548,7.569723423998567
41,DF,-8.073796827353414,30.65849166232736,-45.0224027928355,-66.03298318625762,-80.62954019968045
42,HLF,42.682268013023965,-12.361188563269597,37.670264507657045,70.57291209628755,-19.65279504846781
43,TWNK,4.166662527455388,30.0,13.923080150897686,-28.403142856233405,32.30209521991348
44,BUD,15.55724047965481,-10.9270917672808,10.562345299824386,-39.31328229197803,27.494509262521987
45,CHGG,-3.8571425846644813,18.269236941309604,122.04081505549445,71.72206275788103,33.06423359765521
46,AGRO,54.01002421651562,-12.846345529581521,-5.570773217375826,-32.68858863212853,18.55524013310105
47,CASY,36.52990079983455,3.6472425947938327,-4.8116405608223065,15.130509952283758,26.97853413426549
48,MGPI,71.62432048613519,104.882896031619,58.200700929331035,-27.669071210753664,-13.462576341007493
49,EDU,56.77193253519787,42.954157359070216,118.09021698889464,-43.951323386695925,119.21894230606756
50,TSN,34.851487362728164,17.683156459555608,31.71576476658111,-32.44791594574875,74.81122283012556
51,MKC,18.620101774480585,12.741085740161749,11.028159842124458,39.94566094586421,26.953709034083875
52,HAIN,-29.06568253638383,-1.8607032183786107,7.425241695782818,-62.19308851434231,60.04932295588251
53,HSY,-11.837408601958439,20.48078624041033,11.802133036953128,-1.7034352202518517,42.516219250668726
54,PFGC,21.789470471833887,7.09504758328458,39.6624363231277,-3.958327609394964,62.705437848645715
55,UN,15.25556762660295,0.33785162166113064,42.93559463502111,-0.3371435435239202,10.885019282758536
56,CHEF,-26.970226822499164,-0.6913869122075349,30.990418528362884,50.84904901579914,18.538098916341266
